"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.01,0.01,0.26666666666666666,0.4666666666666667,-5.133333333333326,-1.7333333333333343,0.5,0.5,0.2857142857142857,0.5,"HOME"
4,0.01,0.7333333333333333,0.5,8.13333333333334,2.2142857142857224,0.75,0.5,0.3333333333333333,0.7777777777777778,"HOME"
1,0.01,0.5714285714285714,0.46153846153846156,3.9285714285714306,-0.4615384615384528,0.5,0.25,0.42857142857142855,0.625,"HOME"
0.01,0.01,0,0.42857142857142855,-8.166666666666671,-3.785714285714292,0,0.5,0.2857142857142857,0,"HOME"
0.01,0.01,0.44,0.5333333333333333,-4.359999999999999,0.46666666666665435,0.25,0.625,0.2222222222222222,0.5833333333333334,"VISITING"
1,2,0.8333333333333334,0.2,7.5,-4.533333333333346,0.875,0.25,0.1111111111111111,0.8571428571428571,"HOME"
1,2,0.38461538461538464,0.8,-3.538461538461533,6.599999999999994,0.375,0.75,0.8888888888888888,0.5714285714285714,"VISITING"
2,1,0.5833333333333334,0.6923076923076923,1,6.84615384615384,0.5,0.5,0.5,0.5,"VISITING"
1,1,0.5714285714285714,0.5333333333333333,-0.7857142857142918,1.13333333333334,0.625,0.5,0.4,0.6666666666666666,"HOME"
0.01,1,0.7692307692307693,0.8125,4.461538461538467,7.5,0.75,0.75,0.9,1,"HOME"
2,2,0.6923076923076923,0.2,3.07692307692308,-5.733333333333334,0.875,0.125,0.1,0.7142857142857143,"VISITING"
2,0.01,0.5333333333333333,0.4,-1.5333333333333314,-3.6666666666666714,0.5,0.5,0.25,0.5,"HOME"
1,1,0.35714285714285715,0.7142857142857143,-4.785714285714292,4.857142857142861,0.375,0.75,0.5,0.5,"VISITING"
0.01,1,0.4230769230769231,0.6,-4.653846153846146,-1,0.25,0.625,0.6,0.5384615384615384,"VISITING"
0.01,1,0.4666666666666667,0.5,3.6666666666666714,1,0.5,0.5,0.36363636363636365,0.6,"HOME"
1,0.01,0.8461538461538461,0.3125,8.538461538461533,-2.3125,0.875,0.625,0.1111111111111111,0.875,"HOME"
0.01,0.01,0.2857142857142857,0.4666666666666667,-5.071428571428569,-0.7999999999999972,0.25,0.5,0.3333333333333333,0.4444444444444444,"VISITING"
