"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.5294117647058824,0.8125,-1.6470588235294201,5,0.625,0.875,0.7777777777777778,0.6666666666666666,"VISITING"
0.7857142857142857,0.5,4.571428571428569,4.833333333333329,0.75,0.375,0.3333333333333333,1,"HOME"
0.2,0.4666666666666667,-6.3999999999999915,1.7333333333333343,0,0.5,0.2857142857142857,0.14285714285714285,"VISITING"
0.8235294117647058,0.5,10.294117647058826,-0.8888888888888857,0.75,0.375,0.4,0.875,"HOME"
0.4666666666666667,0.5,0.19999999999998863,1.875,0.375,0.625,0.375,1,"VISITING"
0.16666666666666666,0.7222222222222222,-9.666666666666671,6.722222222222214,0.25,0.875,0.625,0.25,"HOME"
0.8235294117647058,0.9411764705882353,5.058823529411768,11.058823529411768,0.875,0.875,0.875,0.8571428571428571,"HOME"
0.47058823529411764,0.375,-1.705882352941174,-1.625,0.75,0.375,0.16666666666666666,0.7142857142857143,"HOME"
0.3684210526315789,0.1875,-3.631578947368425,-9.5625,0.375,0.125,0.125,0.375,"HOME"
0.29411764705882354,0.625,-6.588235294117652,2.3125,0.25,0.75,0.5,0.3333333333333333,"VISITING"
0.5555555555555556,0.4444444444444444,1.5,-2.666666666666657,0.5,0.375,0.5,0.8,"HOME"
0.8235294117647058,0.4117647058823529,9.117647058823536,-1.058823529411768,1,0.5,0.2857142857142857,0.9,"VISITING"
0.5555555555555556,0.375,3.3333333333333286,-0.4375,0.375,0.375,0.42857142857142855,0.7142857142857143,"HOME"
0.26666666666666666,0.8,-3.799999999999997,4.933333333333337,0.25,0.875,0.5,0.3,"VISITING"
0.5,0.5294117647058824,-2.375,2,0.625,0.5,0.4444444444444444,0.375,"HOME"
0.3333333333333333,0.35294117647058826,-7.055555555555557,-2.588235294117638,0.125,0.25,0.14285714285714285,0.5,"HOME"
0.47368421052631576,0.6666666666666666,-0.9473684210526301,4.611111111111114,0.375,0.625,0.5,0.625,"HOME"
0.29411764705882354,0.6470588235294118,-8.352941176470594,3.588235294117652,0.25,0.875,0.5555555555555556,0.5714285714285714,"HOME"
0.5294117647058824,0.5789473684210527,1.9411764705882462,1.7894736842105345,0.75,0.5,0.25,0.625,"VISITING"
0.17647058823529413,0.4444444444444444,-9.470588235294116,-0.44444444444444287,0.125,0.5,0.375,0.25,"VISITING"
0.6842105263157895,0.5,6.05263157894737,0.8333333333333428,0.75,0.5,0.4,0.8,"VISITING"
0.21052631578947367,0.8888888888888888,-8.84210526315789,10.222222222222214,0.375,0.875,0.7777777777777778,0.3333333333333333,"VISITING"
0.8333333333333334,0.8125,5,4.75,0.875,1,0.5714285714285714,0.875,"HOME"
0.2777777777777778,0.1875,-7.555555555555557,-6.25,0.25,0,0.25,0.2857142857142857,"VISITING"
0.4375,0.7777777777777778,0,8.055555555555557,0.25,0.875,0.7142857142857143,0.8333333333333334,"HOME"
